name,sex,breed,color
Gida,female,Unknown Mix,red
Frida És Ricsi,female,Unknown Mix,black and white
Amy,female,French Bulldog Mix,black
Alex,male,Unknown Mix,yellow-brown
Ricsi És Frida,male,Unknown Mix,brown
Újhartyáni Mazsi,female,Unknown Mix,brown and white
Vasi,male,Vizsla Mix,red
,male,Unknown Mix,saddle back
,female,Unknown Mix,brown
Újhartyáni Frenki,male,Unknown Mix,tricolor
Fickó,male,"Bull Terrier, Dachshund Mix",brown and white
,male,Unknown Mix,black
Újhartyáni Bori,female,Unknown Mix,tricolor
Dabasi Ixorn,male,Unknown Mix,black
,male,Unknown Mix,yellow-brown
Gizmo,male,Unknown Mix,spotty
Sába,female,Kuvasz,white
Döme,male,Unknown Mix,black
Jocelyn,female,Unknown Mix,apricot
,female,Unknown Mix,yellow-brown
Katica,female,Unknown Mix,black
Bethany,female,Chinese Shar-Pei Mix,black and brown
Cotta,female,Staffordshire Terrier Mix,brown and white
Kehlani,female,German Shepherd Dog Mix,black and brown
,male,Unknown Mix,saddle back
Kakucsi Szikra,male,Hungarian Vizsla,brown
Crosby,male,"Komondor, Puli Mix",golden
,male,"Bull Terrier, Staffordshire Terrier Mix",striped
,male,Unknown Mix,black
Bowen,male,Unknown Mix,brown
Panna,female,Staffordshire Terrier Mix,striped
Szolnoki Joker,male,Fox Terrier Mix,black and white
Sátoraljaújhelyi Dingó,male,Unknown Mix,yellow
Valentin,male,Unknown Mix,apricot
Szolnoki Chris,male,Fox Terrier Mix,brown and white
,male,Unknown Mix,yellow-brown
Pufi,male,Unknown Mix,wild boar
Velencei Fiffi,female,Afghan Hound,brown
Szálkás Kan Kölyök,male,Unknown Mix,brown
Szakáldi Báró,male,Unknown Mix,brown and white
,male,Unknown Mix,black and tan
Hónapos Keverék Kan,male,Unknown Mix,tricolor
Kormi,male,Unknown Mix,black
,female,Unknown Mix,saddle back
Velencei Shyne On,female,American Bulldog,striped
Lili,female,Unknown Mix,brown
Beagle Keverék Kutyusok,male,Beagle Mix,black and brown
Hónapos Szuka,female,Unknown Mix,brown
Beagle Keverék Kutyus,female,Beagle Mix,brown and white
,male,Unknown Mix,yellow-brown
Sátoraljaújhelyi Gesztenye,male,"Hungarian Vizsla, Staffordshire Terrier Mix",brown
Kakucsi Henrik,male,Terrier Mix,yellow-brown
Sajóörsi Foxi És Maxi,male,Unknown Mix,black and brown
Elsa,female,Unknown Mix,brown
