Id,age,Income,Spend,Savings,Debt,Credit Rating,Is Employable ,HasCriminalBackground,Unemployed For
10001,1,56583674,27,45,37,8,1,1,17
10002,81,786671081,59,60,-46,2,0,0,48
10003,65,8166347,22,44,54,6,1,1,27
10004,106,97959516,73,41,29,7,0,0,40
10005,30,125336989,69,31,-3,5,1,1,39
10006,18,330606986,50,41,28,4,0,0,2
10007,30,877266338,74,32,-39,2,1,1,1
10008,24,233441740,52,59,42,7,0,0,28
10009,4,449292864,54,49,-43,6,1,1,30
10010,7,698534184,45,36,3,1,0,0,52
10011,18,670825696,68,38,8,10,1,1,31
10012,41,948043082,70,46,40,9,0,0,3
10013,109,407506771,58,32,-36,2,1,1,50
10014,37,738594677,45,56,1,8,0,0,25
10015,76,672821752,60,47,-44,1,1,1,34
10016,82,169425510,69,57,59,4,0,0,50
10017,95,843638661,22,30,30,3,1,1,44
10018,33,931971701,35,39,-40,1,0,0,47
10019,106,914154849,27,55,36,2,1,1,48
10020,34,28329703,36,54,-3,7,0,0,8
10021,58,145193322,21,33,0,8,1,1,45
10022,41,60192379,42,42,21,5,0,0,28
10023,64,434446709,41,50,8,7,1,1,42
10024,60,320071739,21,42,-40,0,0,0,16
10025,36,439103480,48,53,-11,2,1,1,35
10026,14,170565505,39,60,-10,1,0,0,31
10027,49,644982907,77,42,56,6,1,1,46
10028,31,764910261,49,40,-19,10,0,0,1
10029,26,839252868,51,30,29,3,1,1,1
10030,77,187870179,34,33,-24,1,0,0,55
10031,1,825363770,61,31,20,5,1,1,16
10032,74,337208757,55,46,3,1,0,0,13
10033,81,645383284,43,44,31,4,1,1,15
10034,63,267357142,62,35,2,4,0,0,33
10035,7,265322423,73,47,-25,8,1,1,16
10036,76,575128779,35,58,-24,2,0,0,56
10037,27,638840914,75,36,-31,7,1,1,38
10038,14,67766579,26,55,-35,10,0,0,38
10039,32,529988012,79,58,-45,9,1,1,55
10040,9,414046128,31,58,58,10,0,0,24
10041,77,217130406,77,38,-45,7,1,1,44
10042,2,608674264,33,41,21,4,0,0,13
10043,28,237505845,51,46,15,2,1,1,56
10044,68,724667519,45,31,-34,6,0,0,23
10045,18,188248783,45,50,-19,3,1,1,58
10046,98,52885700,73,34,25,8,0,0,8
10047,11,658092898,29,50,46,4,1,1,28
10048,34,861694846,68,53,-45,8,0,0,30
10049,106,714009935,28,39,-46,8,1,1,1
10050,65,188591059,60,59,-6,1,0,0,30
10051,106,544133564,78,30,6,5,1,1,59
10052,101,133105618,43,56,-40,0,0,0,35
10053,9,604934292,37,52,-6,3,1,1,6
10054,34,942820440,31,47,26,6,0,0,15
10055,2,683825585,78,51,49,9,1,1,6
10056,106,530551424,45,38,8,7,0,0,22
10057,107,156428737,65,32,53,0,1,1,34
10058,38,537284616,50,30,-30,1,0,0,19
10059,48,409914792,69,49,-6,3,1,1,40
10060,14,622005645,21,57,19,6,0,0,28
10061,64,328742777,78,56,34,2,1,1,21
10062,44,861107820,53,37,-9,5,0,0,40
10063,96,138604080,65,58,15,3,1,1,17
10064,13,739484737,54,49,13,0,0,0,16
10065,95,621482933,36,46,47,7,1,1,33
10066,27,95884728,32,37,-48,3,0,0,24
10067,25,756414286,68,38,-30,10,1,1,54
10068,29,334102694,80,53,-38,4,0,0,5
10069,27,575415365,25,39,39,5,1,1,39
10070,7,500710310,29,32,57,9,0,0,30
10071,7,292959756,17,36,11,1,1,1,17
10072,92,643393286,51,37,45,3,0,0,32
10073,80,39048144,24,39,10,4,1,1,12
10074,55,490495214,23,30,1,7,0,0,23
10075,86,783712894,52,56,7,0,1,1,58
10076,54,324048212,62,51,22,10,0,0,8
10077,1,477686309,79,41,21,7,1,1,43
10078,63,954314387,25,59,-49,9,0,0,35
10079,104,343073983,75,60,-9,1,1,1,40
10080,33,248673856,67,30,-16,9,0,0,7
10081,105,522291541,69,42,-11,1,1,1,31
10082,102,925892774,30,59,-46,8,0,0,16
10083,106,912197725,35,54,-46,1,1,1,49
10084,16,440957520,57,49,47,5,0,0,2
10085,88,180229372,27,35,31,7,1,1,37
10086,30,253944869,16,50,37,8,0,0,22
10087,26,589721759,48,34,51,3,1,1,52
10088,10,787998402,69,51,50,5,0,0,20
10089,22,761785137,31,34,-22,1,1,1,9
10090,78,485291370,79,55,-14,3,0,0,43
10091,35,204651755,55,40,52,2,1,1,55
10092,10,138484238,22,39,6,4,0,0,40
10093,47,733143773,43,45,4,5,1,1,18
10094,90,189802205,24,50,27,2,0,0,35
10095,11,176328901,23,38,-45,0,1,1,19
10096,48,522476597,78,38,33,8,0,0,48
10097,2,745560881,24,31,47,2,1,1,32
10098,62,246439314,60,42,59,10,0,0,32
10099,91,725829201,21,55,-27,9,1,1,13
10100,102,694104686,76,47,35,1,0,0,51
10101,61,217010726,19,41,34,1,1,1,31
10102,72,838048847,80,57,10,7,0,0,33
10103,57,991489960,65,47,27,1,1,1,6
10104,85,347684673,79,55,-16,6,0,0,25
10105,104,607793339,48,47,16,4,1,1,56
10106,51,211436622,17,58,-27,2,0,0,50
10107,75,767021024,44,39,3,0,1,1,3
10108,16,828954424,42,36,-8,8,0,0,4
10109,30,705242530,26,55,11,3,1,1,46
10110,67,281881038,43,45,-28,4,0,0,45
10111,29,490758393,67,43,-30,3,1,1,9
10112,77,880059826,47,52,27,8,0,0,5
